ID,logFC,P.Value
ILMN_1656920,-1.38323961,0.0096239
ILMN_1687384,-1.09500311,0.0096351
ILMN_3179396,-0.57644876,0.0096666
ILMN_2045419,0.61513278,0.0097032
ILMN_1693323,0.60740387,0.0097131
ILMN_3290100,-0.54551394,0.0097551
ILMN_1669652,0.64042199,0.0097747
ILMN_1798816,0.57117305,0.0097815
ILMN_1754272,-0.88749465,0.009814
ILMN_1765641,-0.77835754,0.0098178
ILMN_1700674,-0.55418896,0.0098244
ILMN_1743714,-1.49693636,0.0098562
ILMN_3236637,-0.82421799,0.0099018
ILMN_1683687,0.56984791,0.0099046
ILMN_3202109,0.75639502,0.0099203
ILMN_1903345,0.54437435,0.009927
ILMN_1678143,-1.23670609,0.0099304
ILMN_1652754,-0.6492757,0.0099424
ILMN_2403965,0.63636397,0.0099549
ILMN_2394561,0.66203816,0.0100251
ILMN_1779258,1.12192143,0.0100284
ILMN_1770818,-0.63741634,0.010034
ILMN_1701613,-2.21162641,0.0100991
ILMN_3256471,-0.65270049,0.0101227
ILMN_1695880,0.97782742,0.0102377
ILMN_1790962,-0.73695219,0.0102707
ILMN_1740500,0.5510489,0.0102777
ILMN_1770338,-1.10748369,0.010281
ILMN_3291413,-0.54051004,0.0103286
ILMN_2383344,-0.68097994,0.0103342
ILMN_1651544,0.73112453,0.010353
ILMN_1717366,0.91885119,0.0103884
ILMN_3232894,-0.81969528,0.0103913
ILMN_1734483,0.55418869,0.0104027
ILMN_1768595,0.55904687,0.0104595
ILMN_1710479,-1.19338958,0.0105791
ILMN_1848916,-0.53215575,0.0106443
ILMN_1727466,0.73003925,0.0106539
ILMN_2323418,0.60860763,0.0106564
ILMN_1744676,-0.82636972,0.0106873
ILMN_1762718,1.17532882,0.0106901
ILMN_2092441,0.59660741,0.0107591
ILMN_1722809,1.58002337,0.010778
ILMN_1876924,0.53086528,0.010858
ILMN_1791593,0.68239047,0.0108612
ILMN_3224126,-0.82698184,0.0109393
ILMN_1668752,-0.66452545,0.0109551
ILMN_1766411,-1.0229867,0.0109998
ILMN_2338785,-0.63383554,0.0110174
ILMN_1882018,0.65694955,0.0110443
ILMN_1789702,1.1144853,0.0111287
ILMN_1859036,0.63062546,0.0111375
ILMN_1667429,0.74814593,0.0111554
ILMN_1663032,-0.66616257,0.0111603
ILMN_1790688,-0.65589966,0.0111652
ILMN_1722855,-0.67647029,0.0111819
ILMN_1778347,-0.72240092,0.0111855
ILMN_1720542,-0.75671258,0.011209
ILMN_1720858,-1.05488862,0.0113493
ILMN_1793894,-0.92545487,0.0113521
ILMN_1797384,-0.66782883,0.0113587
ILMN_2217329,-0.53912395,0.0113623
ILMN_2370208,0.82958905,0.011363
ILMN_2289381,-0.65858941,0.0114305
ILMN_1682227,0.53838752,0.0114703
ILMN_1687785,-0.60355692,0.0115011
ILMN_2347798,-1.33155626,0.0115106
ILMN_1803143,0.60795803,0.0115184
ILMN_1684520,0.61478536,0.0115242
ILMN_1658639,0.70835598,0.0115244
ILMN_3259610,-0.5198943,0.011544
ILMN_3284177,-0.53074295,0.0115567
ILMN_1672605,0.90384964,0.011559
ILMN_1797684,-0.54651472,0.0115813
ILMN_3263225,-0.92699663,0.0116691
ILMN_2337241,-0.57807509,0.0117755
ILMN_3236858,-1.27237432,0.0118001
ILMN_2051684,0.5222484,0.0119016
ILMN_2148459,-0.90190278,0.0119086
ILMN_1734611,-1.82165958,0.0119416
ILMN_1869278,0.93110648,0.0119623
ILMN_1786612,-0.90272735,0.0119668
ILMN_1776522,-0.64886035,0.011976
ILMN_1741632,-1.20383633,0.0120227
ILMN_1698369,0.55627122,0.0120295
ILMN_1799389,0.52795653,0.0120444
ILMN_1670912,1.41940747,0.0120489
ILMN_2051469,-0.67831963,0.0120502
ILMN_1747195,-1.57636289,0.0120644
ILMN_1793832,0.56465293,0.0120678
ILMN_1786021,0.66222639,0.012072
ILMN_1807277,-1.1590676,0.0120941
ILMN_1815346,-0.73307684,0.0120986
ILMN_2379644,-1.53699465,0.0121067
ILMN_1678170,2.50853802,0.0121415
ILMN_1659470,-0.65246027,0.0121425
ILMN_1730454,-1.30226492,0.0121657
ILMN_1659766,0.55748524,0.0121784
ILMN_1756727,0.52520327,0.012182
ILMN_1867517,0.855156,0.0122554
ILMN_1764186,0.55700567,0.0122573
ILMN_1704398,0.90342013,0.0122594
ILMN_1683886,0.93924509,0.0122837
ILMN_3282174,-0.83586098,0.0122881
ILMN_3226875,-0.6538193,0.012302
ILMN_1678116,-0.51576429,0.0123306
ILMN_1828245,-0.56008055,0.0123339
ILMN_1673363,-0.69197124,0.0123601
ILMN_2341254,0.58902052,0.0123601
ILMN_1864900,-0.73353178,0.01241
ILMN_3244893,-0.60825555,0.0124104
ILMN_1804117,-0.60808627,0.0124764
ILMN_1679318,-1.02970565,0.0125003
ILMN_2352097,-0.8441942,0.0125752
ILMN_3241834,-0.56732039,0.0125785
ILMN_1687978,-1.18284456,0.0126139
ILMN_1656292,-0.62139937,0.0126212
ILMN_1682572,-0.52013462,0.0126229
ILMN_1844408,0.91970836,0.0126313
ILMN_1730628,0.58935504,0.0126437
ILMN_3185709,0.54716293,0.0126713
ILMN_1747023,-0.5849658,0.0126863
ILMN_1785330,0.86189817,0.0126971
ILMN_1770963,-0.78408987,0.0127408
ILMN_1784749,0.62283202,0.0127543
ILMN_2213297,0.54491627,0.0127639
ILMN_1779735,-0.54157023,0.0127642
ILMN_2095506,0.57396035,0.0127671
ILMN_2285951,0.52704804,0.0128647
ILMN_1689976,0.80022827,0.0128728
ILMN_1810836,-1.2256088,0.0128942
ILMN_2373062,-1.37095624,0.012908
ILMN_3286685,-0.56158996,0.0129152
ILMN_1916636,-0.51011692,0.0129222
ILMN_2050023,-0.62778794,0.0129257
ILMN_2373689,-0.81787524,0.0129292
ILMN_1666617,0.5677628,0.0129308
ILMN_1707763,0.6507531,0.0129313
ILMN_1705442,0.55606369,0.0129368
ILMN_1711015,-0.58145283,0.0130071
ILMN_1698478,-0.56346312,0.0130336
ILMN_1680029,0.53584593,0.0130778
ILMN_3301740,-0.5681672,0.0131381
ILMN_2219512,0.68500522,0.0131835
ILMN_2099586,-0.84622098,0.0132191
ILMN_1748124,1.98356417,0.013261
ILMN_3243414,0.52315435,0.0132765
ILMN_3215759,-0.5193928,0.0132883
ILMN_3245476,0.50938724,0.0133293
ILMN_1756469,-0.55705492,0.0133516
ILMN_1794106,-0.62855754,0.0133904
ILMN_1667125,-0.51919972,0.013392
ILMN_2337941,0.54100925,0.0133998
ILMN_1700733,0.6593321,0.013411
ILMN_1704554,-1.23671692,0.0134788
ILMN_2195482,-0.63615913,0.0134824
ILMN_1803256,-0.63986542,0.0134879
ILMN_1765222,-0.64067876,0.0135165
ILMN_2061565,-1.02460304,0.0135312
ILMN_2363658,0.80354556,0.013561
ILMN_1716279,-1.2400855,0.0135679
ILMN_1691747,-1.36130805,0.013571
ILMN_3242048,0.49742081,0.0135924
ILMN_2411236,1.5060144,0.0135927
ILMN_2110271,0.53655487,0.0136682
ILMN_3245000,-0.61106301,0.0137175
ILMN_3268914,-0.53541821,0.0137281
ILMN_1665332,-0.88046762,0.0137571
ILMN_3248069,-0.75052229,0.0137776
ILMN_1749834,-0.61720365,0.0137834
ILMN_1652955,-0.55672563,0.0138035
ILMN_1797861,-0.81863339,0.0138278
ILMN_2327780,0.66410064,0.013865
ILMN_3249742,0.49754365,0.0139288
ILMN_3234997,0.72051388,0.0139613
ILMN_3307868,-1.84282081,0.0139698
ILMN_1778629,-0.5669256,0.0139736
ILMN_2113490,-1.72861896,0.0140505
ILMN_1916025,-0.55597849,0.0140517
ILMN_1859573,-0.57239048,0.0140557
ILMN_1730291,0.64870207,0.0140889
ILMN_1768505,-0.49452811,0.014092
ILMN_2145518,-0.70400115,0.0141084
ILMN_1671731,-0.89358488,0.0141183
ILMN_1814770,0.86974383,0.0141319
ILMN_1766176,-0.51430198,0.0141454
ILMN_1671288,0.86746152,0.0141502
ILMN_3299929,-0.62242348,0.0141532
ILMN_1765116,0.51475512,0.0142186
ILMN_3260618,-0.66891034,0.0142746
ILMN_1776213,-1.12418496,0.0143015
ILMN_1757702,-0.62162433,0.0143262
ILMN_1684984,0.52047497,0.0143475
ILMN_2174574,-0.50147608,0.0143483
ILMN_2083469,1.89242914,0.0143792
ILMN_3244390,-0.48870571,0.014411
ILMN_1678404,0.65705562,0.0144197
ILMN_2122926,0.48998047,0.01443
ILMN_1824362,-0.69855931,0.0144488
ILMN_1744604,-0.54304687,0.0144785
ILMN_1754303,-0.51470346,0.014483
ILMN_1789274,-0.5452917,0.014495
ILMN_3200362,-0.51292273,0.0145007
ILMN_1795839,-0.51171372,0.014511
ILMN_1694426,2.3651404,0.0145235
ILMN_1740493,-0.51998978,0.0145542
ILMN_3212051,0.51017053,0.014651
ILMN_2097790,-0.57678326,0.0146906
ILMN_1805992,-1.3881347,0.0146996
ILMN_1682110,0.61540361,0.014707
ILMN_2388701,0.72788893,0.0147121
ILMN_2311166,0.6800979,0.0147498
ILMN_1753745,-0.58016155,0.0148464
ILMN_1653205,-0.51946025,0.0148669
ILMN_2041788,-0.49357379,0.0149947
ILMN_3252665,-0.59964163,0.0150778
ILMN_2390299,-1.59724186,0.0150972
ILMN_1768466,-0.60366977,0.01514
ILMN_1714383,-1.58417047,0.0151447
ILMN_2124757,-0.5658984,0.0151622
ILMN_1760830,0.8420437,0.0151904
ILMN_1778561,-0.85090575,0.0152205
ILMN_1737283,-1.264992,0.0152686
ILMN_1668466,-0.54107054,0.0153511
ILMN_1902005,0.84588078,0.0153752
ILMN_1800425,0.61722907,0.0154085
ILMN_1751171,0.5593527,0.0154255
ILMN_3227529,-0.51354672,0.0155029
ILMN_1750511,-0.50601567,0.0155049
ILMN_3282395,-0.51331378,0.0155395
ILMN_3259146,-0.8826334,0.0155602
ILMN_1892652,-0.53356815,0.015563
ILMN_2258268,-0.72610513,0.0155732
ILMN_1748283,-0.48059136,0.0156038
ILMN_1711786,-0.91403065,0.0156073
ILMN_1757084,0.65917525,0.0156291
ILMN_1712916,0.83549622,0.0156763
ILMN_3226392,-0.66362353,0.01571
ILMN_1863979,-0.47642272,0.0158686
ILMN_3284119,-0.47882028,0.0158749
ILMN_1694730,-0.64442005,0.0158823
ILMN_1713966,-0.55201561,0.0159051
ILMN_1815184,-1.70409688,0.015956
ILMN_3251423,-0.48766897,0.0160405
ILMN_1672009,-0.99687297,0.0160727
ILMN_1782305,0.56137853,0.0160832
ILMN_1808501,0.49275963,0.0161502
ILMN_1761764,-0.50070138,0.0161547
ILMN_2380588,-0.60451106,0.016159
